line_name,appropriation_code,appropriated_amount,original_description,line_type,explicit_project_address,source_url,source_version
172-4945. Mt. Olive Township,971-42042-4900-4319,21000.00,"SECTION 4945. THE SUM OF $21,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 4945 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE MT. OLIVE TOWNSHIP FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-4950. Chicago Board of Education - Barbara Vick Center,971-42042-4900-4419,12500.00,"SECTION 4950. THE SUM OF $12,500, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 4950 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CHICAGO BOARD OF EDUCATION FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS TO THE BARBARA VICK EARLY CHILDHOOD CENTER.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-4955. Worth Township Highway District - Garden Homes,971-42042-4900-4519,12500.00,"SECTION 4955. THE SUM OF $12,500, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 4955 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE WORTH TOWNSHIP HIGHWAY DISTRICT FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS TO THE GARDEN HOMES COMMUNITY.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-4965. Quad Community Development Corporation - Berkley A,971-42042-4900-4719,250000.00,"SECTION 4965. THE SUM OF $250,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 4965 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE QUAD COMMUNITY DEVELOPMENT CORPORATION FOR COSTS ASSOCIATED WITH THE ACQUISITION AND RENOVATION OF PROPERTY AT 4210 S. BERKLEY AVENUE IN CHICAGO.",line_item,4210 S. BERKLEY AVENUE,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-4970. Chicago Innovation Exchange - Incubator Space,971-42042-4900-4819,350000.00,"SECTION 4970. THE SUM OF $350,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 4970 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CHICAGO INNOVATION EXCHANGE FOR COSTS ASSOCIATED WITH THE CONSTRUCTION OF INCUBATOR SPACE AT THE EAST 53RD STREET COMMERCIAL CORRIDOR IN CHICAGO.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-4975. Chicago Commons,971-42042-4900-4919,50000.00,"SECTION 4975. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 4975 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO CHICAGO COMMONS FOR COSTS ASSOCIATED WITH RENOVATIONS AT ITS PROPERTY LOCATED AT 515 E. 53RD STREET IN CHICAGO.",line_item,515 E. 53RD STREET,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-4980. City of Chicago - 23rd Ward,971-42042-4900-5019,100000.00,"SECTION 4980. THE SUM OF $100,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 4980 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CITY OF CHICAGO FOR COSTS ASSOCIATED WITH RESURFACING OF ROADS WITHIN THE 23RD WARD.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-4985. Clyde Park,971-42042-4900-5119,220000.00,"SECTION 4985. THE SUM OF $220,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 4985 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO CLYDE PARK FOR COSTS ASSOCIATED WITH SOCCER FIELD IMPROVEMENTS AT THE CICERO SPORTS COMPLEX.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-4990. Pilsen Wellness Center,971-42042-4900-5219,100000.00,"SECTION 4990. THE SUM OF $100,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 4990 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE PILSEN WELLNESS CENTER FOR COSTS ASSOCIATED WITH CAPITAL IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-4995. Chicago Park District - Valley Forge Park,971-42042-4900-5319,100000.00,"SECTION 4995. THE SUM OF $100,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 4995 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CHICAGO PARK DISTRICT FOR COSTS ASSOCIATED WITH CAPITAL IMPROVEMENTS AT VALLEY FORGE PARK.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-5000. Chicago Park District - Wentworth Park,971-42042-4900-5419,70000.00,"SECTION 5000. THE SUM OF $70,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 5000 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CHICAGO PARK DISTRICT FOR COSTS ASSOCIATED WITH CAPITAL IMPROVEMENTS AT WENTWORTH PARK.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-5005. Town of Cicero,971-42042-4900-5519,500000.00,"SECTION 5005. THE SUM OF $500,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 5005 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE TOWN OF CICERO FOR COSTS ASSOCIATED WITH ROAD IMPROVEMENTS WITHIN THE CITY.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
163-7915. Village of Evansville - Boat Ramp,971-42043-4900-4219,750.00,"Section 7915. The sum of $15,000 $750, or so much thereof as may be necessary and remains unexpended at the close of business on June 30, 2025, from a reappropriation heretofore made for such purpose in Article 171, Section 7915 of Public Act 103-0589, as amended, is reappropriated from the Build Illinois Bond Fund to the Department of Commerce and Economic Opportunity for a grant to the Village of Evansville for all costs associated with a boat ramp.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
163-8075. Austin Chamber of Commerce,971-42043-4900-7419,100000.00,"SECTION 8075. THE SUM OF $100,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 171, SECTION 8075 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE AUSTIN CHAMBER OF COMMERCE FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
167-1028. Township of Roscoe,971-42044-4900-1219,35000.00,"SECTION 1028. THE SUM OF $35,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 175, SECTION 1028 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE TOWNSHIP OF ROSCOE FOR ALL COSTS ASSOCIATED WITH CAPITAL IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
167-1029. University of Illinois,971-42044-4900-1319,100000.00,"SECTION 1029. THE SUM OF $100,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 175, SECTION 1029 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE UNIVERSITY OF ILLINOIS FOR ALL COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS TO ROBERT ALLERTON PARK.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
167-1030. City of Leroy Fire Department,971-42044-4900-1419,50000.00,"SECTION 1030. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 175, SECTION 1030 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CITY OF LEROY FIRE DEPARTMENT FOR ALL COSTS ASSOCIATED WITH THE PURCHASE OF EQUIPMENT AND/OR INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
167-1031. Amvets Post 14,971-42044-4900-1519,100000.00,"SECTION 1031. THE SUM OF $100,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 175, SECTION 1031 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE AMVETS POST 14 FOR ALL COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
167-1032. Village of Mt. Zion Fire Department,971-42044-4900-1619,100000.00,"SECTION 1032. THE SUM OF $100,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 175, SECTION 1032 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF MT. ZION FIRE DEPARTMENT FOR ALL COSTS ASSOCIATED WITH THE PURCHASE OF EQUIPMENT AND/OR INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
167-1033. Village of Warrensburg Fire Department,971-42044-4900-1719,50000.00,"SECTION 1033. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 175, SECTION 1033 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF WARRENSBURG FIRE DEPARTMENT FOR ALL COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
167-1034. Dewitt County Friendship Center,971-42044-4900-1819,100000.00,"SECTION 1034. THE SUM OF $100,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 175, SECTION 1034 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE DEWITT COUNTY FRIENDSHIP CENTER FOR ALL COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
167-1035. American Legion Post 1015,971-42044-4900-1919,55000.00,"SECTION 1035. THE SUM OF $55,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 175, SECTION 1035 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE AMERICAN LEGION POST 1015 FOR ALL COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
167-1036. Fisher Community Foundation for Educational Enhanc,971-42044-4900-2019,50000.00,"SECTION 1036. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 175, SECTION 1036 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE FISHER COMMUNITY FOUNDATION FOR EDUCATIONAL ENHANCEMENT FOR ALL COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
167-1037. Village of Cisco Fire Department,971-42044-4900-2119,40000.00,"SECTION 1037. THE SUM OF $40,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 175, SECTION 1037 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF CISCO FIRE DEPARTMENT FOR ALL COSTS ASSOCIATED WITH THE PURCHASE OF EQUIPMENT AND/OR INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
167-1038. Village of Cerro Gordo,971-42044-4900-2219,50000.00,"SECTION 1038. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 175, SECTION 1038 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF CERRO GORDO FOR ALL COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
167-1039. Cerro Gordo School District #100,971-42044-4900-2319,40000.00,"SECTION 1039. THE SUM OF $40,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 175, SECTION 1039 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CERRO GORDO SCHOOL DISTRICT #100 FOR ALL COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
167-1040. St. Teresa High School,971-42044-4900-2419,50000.00,"SECTION 1040. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 175, SECTION 1040 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE ST. TERESA HIGH SCHOOL FOR ALL COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
167-1041. Hickory Point Fire Department,971-42044-4900-2519,90000.00,"SECTION 1041. THE SUM OF $90,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 175, SECTION 1041 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE HICKORY POINT FIRE DEPARTMENT FOR ALL COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
164-8300. Catholic Charities - Southwest City Regional Ctr,971-42044-4900-3320,2000000.00,"SECTION 8300. THE AMOUNT OF $2,000,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 172, SECTION 8300 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO CATHOLIC CHARITIES OF THE ARCHDIOCESE OF CHICAGO FOR COSTS ASSOCIATED WITH CAPITAL IMPROVEMENTS AT THE SOUTHWEST CITY REGIONAL CENTER.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
164-8310. Catholic Charities - Summit Emergency Regional Ctr,971-42044-4900-3420,2000000.00,"SECTION 8310. THE AMOUNT OF $2,000,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 172, SECTION 8310 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO CATHOLIC CHARITIES OF THE ARCHDIOCESE OF CHICAGO FOR COSTS ASSOCIATED WITH CAPITAL IMPROVEMENTS AT THE SUMMIT EMERGENCY REGIONAL CENTER.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
